,account.id,label,prev_subs,amount.donated.2013,amount.donated.lifetime,no.donations.lifetime,price.level,no.seats,season,set
0,001i000000NuRo3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1,001i000000NuRxd,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,001i000000NuQGN,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,001i000000NuPfL,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4,001i000000NuQkP,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,001i000000NuSpQ,0,0.0,0.0,2830.0,7,0.0,0.0,0.0,0.0
6,001i000000NuOwD,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
7,001i000000NuQ2O,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0
8,001i000000Lhycc,1,12.0,100.0,352.0,5,0.0,0.0,0.0,0.0
9,001i000000NuO9k,0,0.0,0.0,25.0,1,0.0,0.0,0.0,0.0
10,001i000000NuNjW,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0
11,001i000000NuQIh,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
12,001i000000NuQsp,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
13,001i000000NuQ0P,0,1.0,0.0,50.0,2,0.0,0.0,0.0,0.0
14,001i000000NuP9h,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0
15,001i000000NuO0y,0,6.0,0.0,10425.0,13,0.0,0.0,0.0,0.0
16,001i000000NuQa2,0,0.0,0.0,0.0,0,1.0,2.0,2010.0,1.0
17,001i000000NuQYW,1,0.0,0.0,1800.0,3,3.0,2.0,2011.0,5.0
18,001i000000NuQKp,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
19,001i000000NuPvE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,001i000000NuQ11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
21,001i000000NuQ05,0,0.0,0.0,450.0,3,0.0,0.0,0.0,0.0
22,001i000000NuPmu,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23,001i000000P5kdM,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24,001i000000NuNYK,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
25,001i000000NuNeM,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
26,001i000000NuNvl,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
27,001i000000NuOKc,0,4.0,0.0,81.0,1,0.0,0.0,0.0,0.0
28,001i000000Lhyc4,1,20.0,2000.0,34277.0,33,0.0,0.0,0.0,0.0
29,001i000000NuR0m,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
30,001i000000NuOTB,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
31,001i000000MJzSu,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
32,001i000000NuOGJ,0,1.0,0.0,1400.0,4,0.0,0.0,0.0,0.0
33,001i000000NuO4o,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
34,001i000000NuRFC,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
35,001i000000NuPUc,0,0.0,0.0,25100.0,7,0.0,0.0,0.0,0.0
36,001i000000NuPbb,0,0.0,0.0,100.0,1,0.0,0.0,0.0,0.0
37,001i000000NuO19,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
38,001i000000NuR8r,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
39,001i000000Y2FJH,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
40,001i000000NuNou,0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0
41,001i000000NuPaW,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
42,001i000000NuRCB,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
43,001i000000NuRK6,0,0.0,0.0,0.0,0,4.0,2.0,2011.0,4.0
44,001i000000NuRFZ,0,0.0,0.0,0.0,0,4.0,1.0,2012.0,4.0
45,001i000000NuPM5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
46,001i000000NuRkQ,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
47,001i000000NuQCZ,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
48,001i000000NuOI7,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
49,001i000000NuQRL,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
50,001i0000018BZUN,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
51,001i000000LhyV5,1,17.0,750.0,10100.0,32,0.0,0.0,0.0,0.0
52,001i000000MJzb7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
53,001i000000NuRZp,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
54,001i000000NuR1l,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
55,001i000000MJzYs,0,0.0,2500.0,8000.0,5,0.0,0.0,0.0,0.0
56,001i000000NuSAT,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
57,001i000000NuPVY,0,0.0,0.0,1040.0,4,0.0,0.0,0.0,0.0
58,001i000000NuRg0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
59,001i000000NuQVk,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
60,001i000000NuOaU,0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0
61,001i000000V25Uy,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
62,001i000000NuQGQ,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
63,001i000000NuPJH,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
64,001i000000NuPcO,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
65,001i000000NuRGM,0,0.0,0.0,0.0,0,4.0,1.0,2013.0,1.0
66,001i000000NuPw6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
67,001i000000NuPos,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
68,001i000000NuPNQ,0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0
69,001i000000NuOi7,0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0
70,001i000000NuP0J,0,0.0,0.0,500.0,1,0.0,0.0,0.0,0.0
71,001i000000NuQ7z,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
72,001i000000LhyTs,1,21.0,70.0,3295.0,33,1.0,1.0,2013.0,5.0
73,001i000000NuO2a,0,5.0,0.0,3100.0,13,0.0,0.0,0.0,0.0
74,001i000000NuPlY,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
75,001i000000NuOxb,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
76,001i000000NuOXB,0,7.0,0.0,2668.0,4,0.0,0.0,0.0,0.0
77,001i000000NuOOl,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0
78,001i000000NuQEF,0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0
79,001i000000NuRm6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
80,001i000000MJzYv,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
81,001i000000NuRkr,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
82,001i000000NuRms,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
83,001i000000MKXhC,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
84,001i000000NuQuJ,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
85,001i000000LhyaJ,0,4.0,1500.0,4000.0,3,0.0,0.0,0.0,0.0
86,001i000000NuQwB,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
